 Fri, 14 Dec 2018 19:41:23  INFO logger.py <module> [ line:23 ] hehehe
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//ul[@class='headNav clearfix']//a[text()='登录']
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.06秒
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：13819480751
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='user mobile']
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.06秒
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：abc123
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@name='paswrd']
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:39  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:41:40  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:40  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:40  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:41:40  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Fri, 14 Dec 2018 19:41:40  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:40  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：4984
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：4984
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:43  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:45  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:45  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:45  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:45  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Fri, 14 Dec 2018 19:41:45  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:45  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：1231
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：1231
